,ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,cellchat_pvals
10322,App,App,0.5607901479461113,0.183471787387108,7.3557024,Tspan12,Tspan12,0.6903225806451613,0.23540591400533098,Adipocytes,SMCs & Pericytes,0.0795123556534246,1.0
5764,App,App,0.5607901479461113,0.183471787387108,7.3557024,Tspan12,Tspan12,0.7153748411689962,0.23519420199343627,Adipocytes,Immune cells,0.0794465274851296,1.0
3933,Nampt,Nampt,0.6096774193548387,0.21257172983177908,7.3557024,Insr,Insr,0.6225563909774436,0.20286298946987383,SMCs & Pericytes,Adipocytes_2,0.07939811354896617,0.797
4323,Nampt,Nampt,0.7090668650301678,0.24937899795125457,7.3557024,Insr,Insr,0.5521541950113379,0.17276095808797418,Adipocytes,Endothelial cells,0.07933033848166413,0.92
4681,App,App,0.5463786531130876,0.17636496269356736,7.3557024,Tspan12,Tspan12,0.7193877551020408,0.24342544743863392,Immune cells,Endothelial cells,0.07907388420710557,1.0
3032,App,App,0.5607901479461113,0.183471787387108,7.3557024,Tspan12,Tspan12,0.6804511278195489,0.23240075935629828,Adipocytes,Adipocytes_2,0.07857707254340361,1.0
8551,App,App,0.5607901479461113,0.183471787387108,7.3557024,Tspan12,Tspan12,0.6124031007751938,0.23196676674861044,Adipocytes,Neuronal-like cells,0.07844184555364057,1.0
1201,Spon1,Spon1,0.5114503816793893,0.15063506553794218,7.3557024,App,App,0.7634408602150538,0.2789395823655425,Mesothelium,ASPC,0.07752155074739737,0.0
2328,Nampt,Nampt,0.6302414231257941,0.22513976136822278,7.3557024,Insr,Insr,0.5952971319943797,0.18581080320038357,Immune cells,Adipocytes,0.07720712658263082,0.996
10675,App,App,0.5463786531130876,0.17636496269356736,7.3557024,Tspan12,Tspan12,0.6903225806451613,0.23540591400533098,Immune cells,SMCs & Pericytes,0.076668558892056,1.0
6172,App,App,0.5463786531130876,0.17636496269356736,7.3557024,Tspan12,Tspan12,0.7153748411689962,0.23519420199343627,Immune cells,Immune cells,0.07660488916313454,1.0
