,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
6926,Dcn,Dcn,1.3092319,0.5779569892473119,Met,Met,0.31816566,0.183206106870229,ASPC,Mesothelium,0.81369877,0.0
8060,Lamc1,Lamc1,1.3391229,0.6096774193548387,Itga7,Itga7_Itgb1,0.28789106,0.16030534351145037,SMCs & Pericytes,Mesothelium,0.81350696,0.119
3089,Farp2,Farp2,0.7558583,0.38870981072815936,Plxna2,Plxna2,0.87110186,0.4037593984962406,Adipocytes,Adipocytes_2,0.8134801,1.0
911,Ntrk3,Ntrk3,1.3665811,0.5603557814485387,Ptprs,Ptprs,0.26024443,0.1478494623655914,Immune cells,ASPC,0.8134128,1.0
1726,Ntf3,Ntf3,0.8073774,0.4,Ntrk2,Ntrk2,0.8186944,0.396505376344086,SMCs & Pericytes,ASPC,0.8130359,0.0
10733,Ntrk3,Ntrk3,1.3665811,0.5603557814485387,Ptprf,Ptprf,0.25940707,0.15161290322580645,Immune cells,SMCs & Pericytes,0.81299406,0.998
4557,Cxcl12,Cxcl12,0.8996313,0.43197278911564624,Sdc4,Sdc4,0.7251254,0.3673469387755102,Endothelial cells,Endothelial cells,0.81237835,0.0
2138,Lamc1,Lamc1,1.2518802,0.5702947845804989,Itga7,Itga7_Itgb1,0.3728764,0.20464501198446153,Endothelial cells,Adipocytes,0.8123783,0.001
10654,Adipoq,Adipoq,1.037632,0.5051020408163265,Adipor2,Adipor2,0.5867843,0.3016129032258065,Endothelial cells,SMCs & Pericytes,0.8122082,1.0
2464,Fgf1,Fgf1,0.66622174,0.29770992366412213,Fgfr1,Fgfr1,0.9577259,0.467311348045293,Mesothelium,Adipocytes,0.8119738,0.0
10577,App,App,1.3843783,0.6218820861678005,Tnfrsf21,Tnfrsf21,0.23916541,0.1338709677419355,Endothelial cells,SMCs & Pericytes,0.81177187,0.0
6278,Igf1,Igf1,0.42772368,0.21092757306226176,Insr,Insr,1.1957697,0.5616264294790343,Immune cells,Immune cells,0.81174666,0.454
